pu;threats;cost
1;2;3
1;4;3
2;2;4
2;3;4
2;4;4
3;2;3
3;4;3
4;2;3
4;4;3
5;2;3
5;4;3
6;2;3
6;4;3
7;2;3
7;4;3
8;2;3
8;4;3
9;2;3
9;4;3
10;2;3
10;4;3
11;2;3
11;4;3
12;2;3
12;4;3
13;2;3
13;4;3
14;2;3
14;4;3
15;2;3
15;4;3
16;2;3
16;4;3
17;2;3
17;4;3
18;2;3
18;4;3
19;2;3
19;4;3
20;2;3
20;4;3
21;2;3
21;4;3
22;2;3
22;4;3
23;2;3
23;4;3
24;2;3
24;4;3
25;2;3
25;4;3
26;2;3
26;4;3
27;2;3
27;4;3
28;2;3
28;4;3
29;2;3
29;4;3
30;2;3
30;4;3
31;2;3
31;4;3
32;2;3
32;4;3
33;2;3
33;4;3
34;2;3
34;4;3
35;2;3
35;4;3
36;2;3
36;4;3
37;2;3
37;4;3
38;2;3
38;4;3
39;2;3
39;4;3
40;2;3
40;4;3
41;2;3
41;4;3
42;2;3
42;4;3
43;2;3
43;4;3
44;2;3
44;4;3
45;2;3
45;4;3
46;2;3
46;4;3
47;2;3
47;4;3
48;2;3
48;4;3
49;2;3
49;4;3
50;2;3
50;4;3
51;2;3
51;4;3
52;2;4
52;3;4
52;4;4
53;2;3
53;4;3
54;2;3
54;4;3
55;2;3
55;4;3
56;2;3
56;4;3
57;2;3
57;4;3
58;2;3
58;4;3
59;1;5
59;2;5
59;3;5
59;4;5
60;2;3
60;4;3
61;2;3
61;4;3
62;2;3
62;4;3
63;1;5
63;2;5
63;3;5
63;4;5
64;2;3
64;4;3
65;2;3
65;4;3
66;2;3
66;4;3
67;2;3
67;4;3
68;2;3
68;4;3
69;2;3
69;4;3
70;2;3
70;4;3
71;2;3
71;4;3
72;2;3
72;4;3
73;2;3
73;4;3
74;2;3
74;4;3
75;2;3
75;4;3
76;2;3
76;4;3
77;2;3
77;4;3
78;2;3
78;4;3
79;2;3
79;4;3
80;2;3
80;4;3
81;2;3
81;4;3
82;2;3
82;4;3
83;2;3
83;4;3
84;2;3
84;4;3
85;2;3
85;4;3
86;2;3
86;4;3
87;2;3
87;4;3
88;2;3
88;4;3
89;2;3
89;4;3
90;2;3
90;4;3
91;2;3
91;4;3
92;2;3
92;4;3
93;2;3
93;4;3
94;2;3
94;4;3
95;2;3
95;4;3
96;2;4
96;3;4
96;4;4
97;2;4
97;3;4
97;4;4
98;2;3
98;4;3
99;2;3
99;4;3
100;2;3
100;4;3
101;2;3
101;4;3
102;2;3
102;4;3
103;2;3
103;4;3
104;1;5
104;2;5
104;3;5
104;4;5
105;1;5
105;2;5
105;3;5
105;4;5
106;2;3
106;4;3
107;2;3
107;4;3
108;2;3
108;4;3
109;1;5
109;2;5
109;3;5
109;4;5
110;2;3
110;4;3
111;2;3
111;4;3
112;2;3
112;4;3
113;2;3
113;4;3
114;2;3
114;4;3
115;2;3
115;4;3
116;2;3
116;4;3
117;2;3
117;4;3
118;1;5
118;2;5
118;3;5
118;4;5
119;2;3
119;4;3
120;2;3
120;4;3
121;1;5
121;2;5
121;3;5
121;4;5
122;1;5
122;2;5
122;3;5
122;4;5
123;1;5
123;2;5
123;3;5
123;4;5
124;2;3
124;4;3
125;2;3
125;4;3
126;2;4
126;3;4
126;4;4
127;2;3
127;4;3
128;2;3
128;4;3
129;1;5
129;2;5
129;3;5
129;4;5
130;2;3
130;4;3
131;2;3
131;4;3
132;2;3
132;4;3
133;2;3
133;4;3
134;1;5
134;2;5
134;3;5
134;4;5
135;2;3
135;4;3
136;1;5
136;2;5
136;3;5
136;4;5
137;2;3
137;4;3
138;2;3
138;4;3
139;2;3
139;4;3
140;2;3
140;4;3
141;1;5
141;2;5
141;3;5
141;4;5
142;2;4
142;3;4
142;4;4
143;2;3
143;4;3
144;2;3
144;4;3
145;2;3
145;4;3
146;2;4
146;3;4
146;4;4
147;2;3
147;4;3
148;2;3
148;4;3
149;2;3
149;4;3
150;2;3
150;4;3
151;2;4
151;3;4
151;4;4
152;2;3
152;4;3
153;2;4
153;3;4
153;4;4
154;2;4
154;3;4
154;4;4
155;2;3
155;4;3
156;2;3
156;4;3
157;2;3
157;4;3
158;2;3
158;4;3
159;2;3
159;4;3
160;2;3
160;4;3
161;2;3
161;4;3
162;2;4
162;3;4
162;4;4
163;2;4
163;3;4
163;4;4
164;2;3
164;4;3
165;2;3
165;4;3
166;2;4
166;3;4
166;4;4
167;2;4
167;3;4
167;4;4
168;2;3
168;4;3
169;2;4
169;3;4
169;4;4
170;2;4
170;3;4
170;4;4
171;2;4
